Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Socialism: Utopian and Scientific,Friedrich Engels,"",9780873485791,paperback,read,2024/01/07,2024/01/07,2024/01/01-2024/01/07,1,"",,,,,,,,,"",,"",No
Mr. Penumbra's 24-Hour Bookstore,Robin Sloan,"",9780374214913,hardcover,to-read,2024/03/10,"","",0,"",,,,,,,,,"",,"",No
"The Courage To Be Disliked: How to free yourself, change your life and achieve real happiness","Ichiro Kishimi, Fumitake Koga","",9781760630737,paperback,to-read,2022/08/09,"","",0,"",,,,,,,,,"",,"",No
Rilke on Love and Other Difficulties: Translations and Considerations,"John J.L. Mood, Rainer Maria Rilke","",9780393310986,paperback,read,2022/10/10,2022/10/31,2022/10/18-2022/10/31,1,"reflective, emotional, challenging",slow,,,,,,3.5,"","","","",No
The Last Wish,Andrzej Sapkowski,Danusia Stok (Translator),9780316438964,paperback,read,2022/02/03,2022/02/14,2022/02/07-2022/02/14,1,"dark, adventurous",medium,Plot,No,Yes,It's complicated,No,4.25,"","","","",No
"The Biggest Bluff: How I Learned to Pay Attention, Master Myself, and Win",Maria Konnikova,"",9780525522621,hardcover,read,2022/02/22,2022/03/29,2022/03/24-2022/03/29,1,"informative, reflective, inspiring, adventurous",medium,,,,,,4.75,"","","","",Yes
The Left Hand of Darkness,Ursula K. Le Guin,"",9780441007318,paperback,to-read,2025/04/05,"","",0,"",,,,,,,,,"",,"",No
Bad Samaritans: The Myth of Free Trade and the Secret History of Capitalism,Ha-Joon Chang,"",9781596913998,hardcover,to-read,2025/02/08,"","",0,"",,,,,,,,,"",,"",No
The Dark Forest,Cixin Liu,"P.J. Ochlan (Narrator), Joel Martinsen (Translator)",9781427268297,audio,read,2025/05/16,2025/05/21,2025/05/16-2025/05/21,1,"dark, tense, informative, reflective, challenging, hopeful",medium,Plot,It's complicated,No,It's complicated,Yes,4.0,<div>The first third of this book was a 1/5. What a sausage fest jeez. Has the author ever considered women can have their own thoughts?<br><br>The back 2 thirds was fantastic. I have no idea how to balance both of those statements. Evens out to a 4 I guess?</div>,"","","",No
Perfect Victims: And the Politics of Appeal,Mohammed El-Kurd,"",9798888903162,digital,to-read,2025/05/23,"","",0,"",,,,,,,,,"",,"",Yes
Reflections from the North Country,Sigurd F. Olson,"",9780816629930,paperback,read,2022/12/28,2023/01/01,2022/12/18-2023/01/01,1,"reflective, emotional",slow,,,,,,4.0,"","","","",No
A Wizard of Earthsea,Ursula K. Le Guin,"",9780553383041,paperback,to-read,2022/05/24,"","",0,"",,,,,,,,,"",,"",No
"The Disordered Cosmos: A Journey Into Dark Matter, Spacetime, and Dreams Deferred",Chanda Prescod-Weinstein,"",9781541724709,hardcover,read,2022/02/22,2021/07,2021/07,1,"",,,,,,,,,"",,"",Yes
